物品ID,物品名称,index(自动排序位置),BuildMode(建造类型),BuildIndex(建造栏位置)
1001,铁矿,0,0,0
1002,铜矿,1,0,0
1003,硅石,2,0,0
1004,钛石,3,0,0
1005,石矿,4,0,0
1006,煤矿,5,0,0
1030,木材,6,0,0
1031,植物燃料,7,0,0
1011,可燃冰,8,0,0
1012,金伯利矿石,9,0,0
1013,分形硅石,10,0,0
1014,光栅石,11,0,0
1015,刺笋结晶,12,0,0
1016,单极磁石,13,0,0
1101,铁块,14,0,0
1104,铜块,15,0,0
1105,高纯硅块,16,0,0
1106,钛块,17,0,0
1108,石材,18,0,0
1109,高能石墨,19,0,0
1103,钢材,20,0,0
1107,钛合金,21,0,0
1110,玻璃,22,0,0
1119,钛化玻璃,23,0,0
1111,棱镜,24,0,0
1112,金刚石,25,0,0
1113,晶格硅,26,0,0
1201,齿轮,27,0,0
1102,磁铁,28,0,0
1202,铜线圈,29,0,0
1203,电动机,30,0,0
1204,电磁涡轮,31,0,0
1205,超级磁场环,32,0,0
1206,粒子容器,33,0,0
1127,奇异物质,34,0,0
1301,电路板,35,0,0
1303,处理器,36,0,0
1305,量子芯片,37,0,0
1302,微晶元件,38,0,0
1304,位面过滤器,39,0,0
1402,粒子宽带,40,0,0
1401,电浆激发器,41,0,0
1404,光子合并器,42,0,0
1501,太阳帆,43,0,0
1000,水,44,0,0
1007,原油,45,0,0
1114,焦油,46,0,0
1116,硫酸,47,0,0
1120,氢,48,0,0
1121,重氢,49,0,0
1122,反物质,50,0,0
1208,临界光子,51,0,0
1801,液氢燃料棒,52,0,0
1802,氘核燃料棒,53,0,0
1803,反物质燃料棒,54,0,0
1804,奇异湮灭燃料棒,55,0,0
1115,聚丙烯,56,0,0
1123,石墨烯,57,0,0
1124,碳纳米管,58,0,0
1117,有机晶体,59,0,0
1118,钛晶石,60,0,0
1126,卡西米尔晶体,61,0,0
1128,燃烧单元,62,0,0
1129,爆破单元,63,0,0
1130,晶石爆破单元,64,0,0
1209,引力透镜,65,0,0
1210,空间翘曲器,66,0,0
1403,湮灭约束球,67,0,0
1407,动力引擎,68,0,0
1405,推进器,69,0,0
1406,加力推进器,70,0,0
5003,配送运输机,71,0,0
5001,物流运输机,72,0,0
